2019-01-26 14:03:47,115 | WARN  | Transport Connection to: tcp://128.252.20.193:32846 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:32846@1883
2019-01-26 14:04:20,647 | WARN  | Transport Connection to: tcp://128.252.20.193:56542 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:56542@1883
2019-01-26 14:04:53,928 | WARN  | Transport Connection to: tcp://128.252.20.193:39898 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:39898@1883
2019-01-26 14:05:25,240 | WARN  | Transport Connection to: tcp://128.252.20.193:29280 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:29280@1883
2019-01-26 14:05:57,787 | WARN  | Transport Connection to: tcp://128.252.20.193:48774 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:48774@1883
2019-01-26 14:06:30,787 | WARN  | Transport Connection to: tcp://128.252.20.193:40616 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:40616@1883
2019-01-26 14:07:03,256 | WARN  | Transport Connection to: tcp://128.252.20.193:13252 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:13252@1883
2019-01-26 14:07:35,647 | WARN  | Transport Connection to: tcp://128.252.20.193:51137 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:51137@1883
2019-01-26 14:08:08,115 | WARN  | Transport Connection to: tcp://128.252.20.193:49062 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:49062@1883
2019-01-26 14:08:41,100 | WARN  | Transport Connection to: tcp://128.252.20.193:42280 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:42280@1883
2019-01-26 14:09:13,162 | WARN  | Transport Connection to: tcp://128.252.20.193:41602 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:41602@1883
2019-01-26 14:09:45,787 | WARN  | Transport Connection to: tcp://128.252.20.193:45512 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:45512@1883
2019-01-26 14:10:18,600 | WARN  | Transport Connection to: tcp://128.252.20.193:40452 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:40452@1883
2019-01-26 14:10:51,647 | WARN  | Transport Connection to: tcp://128.252.20.193:56474 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:56474@1883
2019-01-26 14:11:22,943 | WARN  | Transport Connection to: tcp://128.252.20.193:46802 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:46802@1883
2019-01-26 14:11:55,818 | WARN  | Transport Connection to: tcp://128.252.20.193:50606 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:50606@1883
2019-01-26 14:12:28,553 | WARN  | Transport Connection to: tcp://128.252.20.193:60438 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:60438@1883
2019-01-26 15:47:41,990 | WARN  | Transport Connection to: tcp://128.252.20.193:48434 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:48434@1883
2019-01-26 16:47:43,709 | WARN  | Transport Connection to: tcp://128.252.20.193:49578 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:49578@1883
2019-01-26 17:47:47,037 | WARN  | Transport Connection to: tcp://128.252.20.193:60148 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:60148@1883
